"","t","POL","IMP","n","damn","gnipc","gni","income"
"1",3,"bau","burkesr","afg",-0.000560756613367896,485.052169550712,0.000207549931158937,"low"
"2",3,"bau","burkesr","ago",0.00473109049055456,1771.00873103867,0.000645528518883321,"low-middle"
"3",3,"bau","burkesr","alb",-3.81363035612603e-05,6113.24042766111,0.000184628975694956,"middle"
"4",3,"bau","burkesr","are",0.0240943374069373,39013.5131624554,0.00418689704335332,"high"
"5",3,"bau","burkesr","arg",0.00879007496730417,10051.6825445888,0.00494597402697232,"middle"
"6",3,"bau","burkesr","arm",-0.00053396535650162,4561.09251160587,0.000145417328370039,"middle"
"7",3,"bau","burkesr","aus",0.0128593072556115,56764.1945823702,0.0156940533280556,"high"
"8",3,"bau","burkesr","aut",-0.00542357651069951,52205.9802920085,0.00502241416939877,"high"
"9",3,"bau","burkesr","aze",0.00041009978101812,4879.53085558876,0.000531745532538091,"middle"
"10",3,"bau","burkesr","bel",-0.00265829030262617,50506.7062978127,0.00628662805592889,"high"
"11",3,"bau","burkesr","ben",0.00136930369819125,1374.59879265667,0.00018384250418875,"low-middle"
"12",3,"bau","burkesr","bfa",0.0017465586605634,855.617633311754,0.000197571454438424,"low"
"13",3,"bau","burkesr","bgd",0.0311006444863548,2618.89120443265,0.00467825063666233,"low-middle"
"14",3,"bau","burkesr","bgr",-0.000644557279098832,10717.2966007569,0.00079422566721942,"middle"
"15",3,"bau","burkesr","bhr",0.00235735743717299,19395.0922806763,0.000364226231470258,"high"
"16",3,"bau","burkesr","bhs",0.000275043914347182,27221.7707163615,0.000116058631126526,"high"
"17",3,"bau","burkesr","bih",-0.000182338235280795,6766.08211200833,0.00023718110028152,"middle"
"18",3,"bau","burkesr","blr",-0.00307244830422751,6954.31370117315,0.000697718772920424,"middle"
"19",3,"bau","burkesr","blz",9.17863637375167e-05,4291.27654681484,1.86644425349776e-05,"middle"
"20",3,"bau","burkesr","bol",0.000763396173921978,3361.35534865027,0.000427239695481948,"low-middle"
"21",3,"bau","burkesr","bra",0.0618093719686671,7715.47745829116,0.0177348664947644,"middle"
"22",3,"bau","burkesr","brb",8.06371927349843e-05,16717.4998344414,5.1663987209236e-05,"high"
"23",3,"bau","burkesr","btn",0.000125833281477918,2811.26182942876,2.35507569687248e-05,"low-middle"
"24",3,"bau","burkesr","bwa",0.000960370260063572,6939.37777171714,0.000178688540183077,"middle"
"25",3,"bau","burkesr","caf",0.00014572070037254,530.940418142377,2.80591426704193e-05,"low"
"26",3,"bau","burkesr","can",-0.0433539442745603,48313.7919313986,0.0198482867796079,"high"
"27",3,"bau","burkesr","che",-0.00786164986315791,90357.4192228647,0.00844178029579419,"high"
"28",3,"bau","burkesr","chl",0.000105674951673493,14996.8655361432,0.00309489495553562,"high"
"29",3,"bau","burkesr","chn",-0.0145307803118622,11887.3654259035,0.180341499829811,"middle"
"30",3,"bau","burkesr","civ",0.00391132780490758,2452.67005993859,0.000712737015558115,"low-middle"
"31",3,"bau","burkesr","cmr",0.00240182100708284,1592.15331579679,0.000465592156912744,"low-middle"
"32",3,"bau","burkesr","cod",0.0027032931322276,576.693381694987,0.000572239867573143,"low"
"33",3,"bau","burkesr","cog",0.000444357955339414,1627.25447626747,9.88798077302766e-05,"low-middle"
"34",3,"bau","burkesr","col",0.0147801383016888,6158.716943027,0.00339143099521519,"middle"
"35",3,"bau","burkesr","com",5.02384444188545e-05,1458.68003056896,1.39206853320715e-05,"low-middle"
"36",3,"bau","burkesr","cpv",7.37113851151853e-05,3334.7183600396,2.01272119598671e-05,"low-middle"
