"","t","POL","IMP","n","resp","income","comp","compc","compr","share","sharepop","yp"
"1",3,"bau","burkesr","afg","share15","low",-0.858117686355887,-19.2748806459094,-0.0120243146594326,0.000412024629435171,0.00546440038884143,1602.99203670532
"2",3,"bau","burkesr","afg","share50","low",-0.683413034463326,-15.3506970903712,-0.00957627782226668,0.000169953201815793,0.00546440038884143,1602.99203670532
"3",3,"bau","burkesr","afg","share90","low",-0.735386134671848,-16.5181072477953,-0.0103045472900449,0.000241967326391131,0.00546440038884143,1602.99203670532
"4",3,"bau","burkesr","ago","share15","low-middle",3.85495570284081,98.9973215932411,0.015669751666917,0.0012139756815365,0.00477950923498395,6317.73391803334
"5",3,"bau","burkesr","ago","share50","low-middle",4.34590173987438,111.605078065598,0.0176653653847359,0.000533718992425103,0.00477950923498395,6317.73391803334
"6",3,"bau","burkesr","ago","share90","low-middle",4.12582038078979,105.953271206723,0.0167707713843867,0.00083866455746239,0.00477950923498395,6317.73391803334
"7",3,"bau","burkesr","alb","share15","middle",-0.163254319046865,-58.7245751967139,-0.00323988945850332,0.000173363996329816,0.000341218173427205,18125.4872886441
"8",3,"bau","burkesr","alb","share50","middle",-0.141360829105618,-50.8492191027404,-0.0028053987345542,0.000143028293712651,0.000341218173427205,18125.4872886441
"9",3,"bau","burkesr","alb","share90","middle",-0.158142107792995,-56.8856502852499,-0.0031384342599655,0.000166280497046252,0.000341218173427205,18125.4872886441
"10",3,"bau","burkesr","are","share15","high",19.9683239028478,2064.97661870195,0.0263148916884104,0.0057170199447579,0.001186899185986,78471.7886416916
"11",3,"bau","burkesr","are","share50","high",21.9019918960919,2264.94228501467,0.0288631408079224,0.00303772224663858,0.001186899185986,78471.7886416916
"12",3,"bau","burkesr","are","share90","high",20.7022285792286,2140.87162143005,0.0272820545891396,0.00470011884439521,0.001186899185986,78471.7886416916
"13",3,"bau","burkesr","arg","share15","middle",4.75152060232886,101.333346178905,0.00427988049427163,0.00559583623021815,0.00575529501870563,23676.6765601362
"14",3,"bau","burkesr","arg","share50","middle",5.15733760721204,109.98800612523,0.0046454157468373,0.00503353465060879,0.00575529501870563,23676.6765601362
"15",3,"bau","burkesr","arg","share90","middle",4.69124118037667,100.047796553139,0.00422558446068341,0.00567935962567423,0.00575529501870563,23676.6765601362
"16",3,"bau","burkesr","arm","share15","middle",-0.666697461745395,-239.819230843667,-0.013544044633017,0.000183914107948571,0.000341218173427205,17706.6184689799
"17",3,"bau","burkesr","arm","share50","middle",-0.800225415158669,-287.850868762111,-0.0162566821703644,0.000368930946136275,0.000341218173427205,17706.6184689799
"18",3,"bau","burkesr","arm","share90","middle",-0.712859427317561,-256.424254430777,-0.0144818308973,0.000247876302353348,0.000341218173427205,17706.6184689799
"19",3,"bau","burkesr","aus","share15","high",4.75476036437023,178.14763448371,0.00313399121786507,0.0112296908806841,0.00327593994560148,56843.6929459769
"20",3,"bau","burkesr","aus","share50","high",4.90803726897788,183.890493404941,0.0032350201732971,0.0110173098208925,0.00327593994560148,56843.6929459769
"21",3,"bau","burkesr","aus","share90","high",3.90276687731015,146.225810315105,0.00257241925597753,0.0124102162845633,0.00327593994560148,56843.6929459769
"22",3,"bau","burkesr","aut","share15","high",-6.73169085023377,-747.135499471006,-0.0119951549666897,0.00181252818531227,0.00110589055488457,62286.4399456105
"23",3,"bau","burkesr","aut","share50","high",-7.73263385043054,-858.227952323034,-0.0137787286136831,0.00319943859896436,0.00110589055488457,62286.4399456105
"24",3,"bau","burkesr","aut","share90","high",-7.07810335297604,-785.583058043956,-0.0126124250917204,0.00229251866167116,0.00110589055488457,62286.4399456105
"25",3,"bau","burkesr","aze","share15","middle",-0.450772529477679,-43.5529013988095,-0.00277954822503567,0.00119282793527368,0.00127036262409049,15669.0576571128
"26",3,"bau","burkesr","aze","share50","middle",-0.613499248662404,-59.2752897258362,-0.00378295179090931,0.00141830269394862,0.00127036262409049,15669.0576571128
"27",3,"bau","burkesr","aze","share90","middle",-0.498377497441747,-48.152415211763,-0.00307308941389367,0.00125878955926022,0.00127036262409049,15669.0576571128
"28",3,"bau","burkesr","bel","share15","high",-4.508822793176,-385.040375164475,-0.00664060180390501,0.00256410483058531,0.00143728950029949,57982.7531501816
"29",3,"bau","burkesr","bel","share50","high",-7.84388666026638,-669.845146051783,-0.0115524894845337,0.0071851819614041,0.00143728950029949,57982.7531501816
"30",3,"bau","burkesr","bel","share90","high",-5.35787837612124,-457.547256714026,-0.00789109229651323,0.00374055946339128,0.00143728950029949,57982.7531501816
"31",3,"bau","burkesr","ben","share15","low-middle",1.22516760716102,84.7866856166799,0.0209644952891732,0.000199715513864049,0.00177359805972054,4044.29891810784
"32",3,"bau","burkesr","ben","share50","low-middle",1.30736566986203,90.475132862424,0.0223710301079213,8.58215667365541e-05,0.00177359805972054,4044.29891810784
"33",3,"bau","burkesr","ben","share90","low-middle",1.26863336802289,87.7946967489889,0.0217082610674249,0.000139489190921802,0.00177359805972054,4044.29891810784
"34",3,"bau","burkesr","bfa","share15","low",1.67542522741726,68.5525870465326,0.027056720647167,9.8562754492335e-05,0.00299977415775572,2533.66207754784
"35",3,"bau","burkesr","bfa","share50","low",1.71435669535317,70.1455276331082,0.0276854313977803,4.46191650087596e-05,0.00299977415775572,2533.66207754784
"36",3,"bau","burkesr","bfa","share90","low",1.69655591333247,69.4171813965824,0.0273979636083777,6.92839960239078e-05,0.00299977415775572,2533.66207754784
"37",3,"bau","burkesr","bgd","share15","low-middle",29.1924918570945,165.471555702837,0.020403127846209,0.00264394351310562,0.0216538525741106,8110.10728110409
"38",3,"bau","burkesr","bgd","share50","low-middle",30.2528154021086,171.481778721849,0.0211442059615399,0.00117475519156139,0.0216538525741106,8110.10728110409
"39",3,"bau","burkesr","bgd","share90","low-middle",29.7405260968951,168.577973568162,0.0207861582744947,0.00188458519393262,0.0216538525741106,8110.10728110409
"40",3,"bau","burkesr","bgr","share15","middle",-1.55567572245823,-236.066118734177,-0.00770174185450499,0.0012624491673524,0.000808858907512691,30651.0037850847
"41",3,"bau","burkesr","bgr","share50","middle",-2.27614378855967,-345.393594622105,-0.0112685899960699,0.00226073244960067,0.000808858907512691,30651.0037850847
"42",3,"bau","burkesr","bgr","share90","middle",-1.86585586871567,-283.134426208751,-0.00923736228000891,0.00169223595328127,0.000808858907512691,30651.0037850847
"43",3,"bau","burkesr","bhr","share15","high",1.77806925692303,1177.52930922055,0.0216317790298899,0.000802663897480973,0.000185337928732043,54435.1579957196
"44",3,"bau","burkesr","bhr","share50","high",1.92826560635656,1276.99709030235,0.0234590499471457,0.00059455126661095,0.000185337928732043,54435.1579957196
"45",3,"bau","burkesr","bhr","share90","high",1.77432742987475,1175.05127806275,0.0215862564072129,0.000807848587216873,0.000185337928732043,54435.1579957196
"46",3,"bau","burkesr","bhs","share15","high",0.21761241299558,518.124792846618,0.0144142185853365,7.95773058811065e-05,5.15509470645418e-05,35945.3958450238
"47",3,"bau","burkesr","bhs","share50","high",0.199160094684456,474.190701629656,0.0131919732828677,0.000105144908048952,5.15509470645418e-05,35945.3958450238
"48",3,"bau","burkesr","bhs","share90","high",0.217648404492692,518.210486887363,0.0144166025913748,7.95274359263351e-05,5.15509470645418e-05,35945.3958450238
"49",3,"bau","burkesr","bih","share15","middle",-0.614489275609363,-193.235621260806,-0.0101703876846499,0.000598790118902324,0.000390314313488674,18999.828448276
"50",3,"bau","burkesr","bih","share50","middle",-0.687632144962903,-216.23652357324,-0.0113809724209832,0.00070013715581739,0.000390314313488674,18999.828448276
"51",3,"bau","burkesr","bih","share90","middle",-0.606004953645293,-190.567595485941,-0.0100299640075557,0.000587034210241758,0.000390314313488674,18999.828448276
"52",3,"bau","burkesr","blr","share15","middle",-4.41348843731061,-479.727004055501,-0.0216476601320632,0.00185815028960959,0.00112921122141377,22160.6862417873
"53",3,"bau","burkesr","blr","share50","middle",-4.94327747068129,-537.312768552314,-0.0242462152430609,0.00259222798162205,0.00112921122141377,22160.6862417873
"54",3,"bau","burkesr","blr","share90","middle",-4.70067106316101,-510.942506865327,-0.0230562583347201,0.00225607162412472,0.00112921122141377,22160.6862417873
"55",3,"bau","burkesr","blz","share15","middle",0.0799913841526758,190.45567655399,0.0196257065311524,1.63431684040087e-05,5.15509470645418e-05,9704.39847613511
"56",3,"bau","burkesr","blz","share50","middle",0.0832070648908743,198.112059263986,0.0204146665814661,1.1887508988926e-05,5.15509470645418e-05,9704.39847613511
"57",3,"bau","burkesr","blz","share90","middle",0.0801757413499036,190.894622261675,0.0196709381556333,1.60877223729992e-05,5.15509470645418e-05,9704.39847613511
"58",3,"bau","burkesr","bol","share15","low-middle",0.37926191585214,29.7460326158541,0.00318886548652111,0.000532257883468733,0.0015649394644593,9328.09262152525
"59",3,"bau","burkesr","bol","share50","low-middle",0.544587046210174,42.7127095066803,0.00457893282578666,0.000303182756426663,0.0015649394644593,9328.09262152525
"60",3,"bau","burkesr","bol","share90","low-middle",0.444807692492046,34.8868778425134,0.00373997978557904,0.000441437407003111,0.0015649394644593,9328.09262152525
"61",3,"bau","burkesr","bra","share15","middle",50.5460067588336,231.014656118984,0.01418420516428,0.0156065615117082,0.0268555886136232,16286.7537125553
"62",3,"bau","burkesr","bra","share50","middle",54.0419555503021,246.992484233556,0.0151652372592306,0.0107625616200771,0.0268555886136232,16286.7537125553
"63",3,"bau","burkesr","bra","share90","middle",51.4863344606954,235.312314719814,0.0144480796402302,0.0143036398851009,0.0268555886136232,16286.7537125553
"64",3,"bau","burkesr","brb","share15","high",0.0577949234604743,206.410440930265,0.0119345838768467,3.16503348562657e-05,3.43672980430279e-05,17295.151893038
"65",3,"bau","burkesr","brb","share50","high",0.0574930097450551,205.332177660911,0.0118722390488843,3.20686676443036e-05,3.43672980430279e-05,17295.151893038
"66",3,"bau","burkesr","brb","share90","high",0.0515751262534387,184.196879476567,0.0106502030520307,4.02685094331858e-05,3.43672980430279e-05,17295.151893038
